reference_date,horizon,target_end_date,location,target,output_type,output_type_id,value
2026-04-18,0,2026-04-18,athens,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,0,2026-04-18,athens,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,0,2026-04-18,athens,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,0,2026-04-18,athens,Flu ED visits pct,quantile,0.25,0.049
2026-04-18,0,2026-04-18,athens,Flu ED visits pct,quantile,0.5,0.234
2026-04-18,0,2026-04-18,athens,Flu ED visits pct,quantile,0.75,0.45
2026-04-18,0,2026-04-18,athens,Flu ED visits pct,quantile,0.9,0.719
2026-04-18,0,2026-04-18,athens,Flu ED visits pct,quantile,0.95,0.973
2026-04-18,0,2026-04-18,athens,Flu ED visits pct,quantile,0.975,1.199
2026-04-18,1,2026-04-25,athens,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,1,2026-04-25,athens,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,1,2026-04-25,athens,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,1,2026-04-25,athens,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,1,2026-04-25,athens,Flu ED visits pct,quantile,0.5,0.093
2026-04-18,1,2026-04-25,athens,Flu ED visits pct,quantile,0.75,0.263
2026-04-18,1,2026-04-25,athens,Flu ED visits pct,quantile,0.9,0.517
2026-04-18,1,2026-04-25,athens,Flu ED visits pct,quantile,0.95,0.705
2026-04-18,1,2026-04-25,athens,Flu ED visits pct,quantile,0.975,0.889
2026-04-18,2,2026-05-02,athens,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,2,2026-05-02,athens,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,2,2026-05-02,athens,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,2,2026-05-02,athens,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,2,2026-05-02,athens,Flu ED visits pct,quantile,0.5,0.0
2026-04-18,2,2026-05-02,athens,Flu ED visits pct,quantile,0.75,0.17
2026-04-18,2,2026-05-02,athens,Flu ED visits pct,quantile,0.9,0.34
2026-04-18,2,2026-05-02,athens,Flu ED visits pct,quantile,0.95,0.52
2026-04-18,2,2026-05-02,athens,Flu ED visits pct,quantile,0.975,0.711
2026-04-18,3,2026-05-09,athens,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,3,2026-05-09,athens,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,3,2026-05-09,athens,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,3,2026-05-09,athens,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,3,2026-05-09,athens,Flu ED visits pct,quantile,0.5,0.0
2026-04-18,3,2026-05-09,athens,Flu ED visits pct,quantile,0.75,0.064
2026-04-18,3,2026-05-09,athens,Flu ED visits pct,quantile,0.9,0.26
2026-04-18,3,2026-05-09,athens,Flu ED visits pct,quantile,0.95,0.41
2026-04-18,3,2026-05-09,athens,Flu ED visits pct,quantile,0.975,0.657
2026-04-18,0,2026-04-18,austin,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,0,2026-04-18,austin,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,0,2026-04-18,austin,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,0,2026-04-18,austin,Flu ED visits pct,quantile,0.25,0.032
2026-04-18,0,2026-04-18,austin,Flu ED visits pct,quantile,0.5,0.083
2026-04-18,0,2026-04-18,austin,Flu ED visits pct,quantile,0.75,0.177
2026-04-18,0,2026-04-18,austin,Flu ED visits pct,quantile,0.9,0.328
2026-04-18,0,2026-04-18,austin,Flu ED visits pct,quantile,0.95,0.451
2026-04-18,0,2026-04-18,austin,Flu ED visits pct,quantile,0.975,0.561
2026-04-18,1,2026-04-25,austin,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,1,2026-04-25,austin,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,1,2026-04-25,austin,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,1,2026-04-25,austin,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,1,2026-04-25,austin,Flu ED visits pct,quantile,0.5,0.044
2026-04-18,1,2026-04-25,austin,Flu ED visits pct,quantile,0.75,0.12
2026-04-18,1,2026-04-25,austin,Flu ED visits pct,quantile,0.9,0.248
2026-04-18,1,2026-04-25,austin,Flu ED visits pct,quantile,0.95,0.337
2026-04-18,1,2026-04-25,austin,Flu ED visits pct,quantile,0.975,0.425
2026-04-18,2,2026-05-02,austin,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,2,2026-05-02,austin,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,2,2026-05-02,austin,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,2,2026-05-02,austin,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,2,2026-05-02,austin,Flu ED visits pct,quantile,0.5,0.021
2026-04-18,2,2026-05-02,austin,Flu ED visits pct,quantile,0.75,0.067
2026-04-18,2,2026-05-02,austin,Flu ED visits pct,quantile,0.9,0.158
2026-04-18,2,2026-05-02,austin,Flu ED visits pct,quantile,0.95,0.245
2026-04-18,2,2026-05-02,austin,Flu ED visits pct,quantile,0.975,0.319
2026-04-18,3,2026-05-09,austin,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,3,2026-05-09,austin,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,3,2026-05-09,austin,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,3,2026-05-09,austin,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,3,2026-05-09,austin,Flu ED visits pct,quantile,0.5,0.0
2026-04-18,3,2026-05-09,austin,Flu ED visits pct,quantile,0.75,0.04
2026-04-18,3,2026-05-09,austin,Flu ED visits pct,quantile,0.9,0.104
2026-04-18,3,2026-05-09,austin,Flu ED visits pct,quantile,0.95,0.196
2026-04-18,3,2026-05-09,austin,Flu ED visits pct,quantile,0.975,0.298
2026-04-18,0,2026-04-18,baltimore,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,0,2026-04-18,baltimore,Flu ED visits pct,quantile,0.05,0.034
2026-04-18,0,2026-04-18,baltimore,Flu ED visits pct,quantile,0.1,0.054
2026-04-18,0,2026-04-18,baltimore,Flu ED visits pct,quantile,0.25,0.103
2026-04-18,0,2026-04-18,baltimore,Flu ED visits pct,quantile,0.5,0.189
2026-04-18,0,2026-04-18,baltimore,Flu ED visits pct,quantile,0.75,0.35
2026-04-18,0,2026-04-18,baltimore,Flu ED visits pct,quantile,0.9,0.561
2026-04-18,0,2026-04-18,baltimore,Flu ED visits pct,quantile,0.95,0.684
2026-04-18,0,2026-04-18,baltimore,Flu ED visits pct,quantile,0.975,0.878
2026-04-18,1,2026-04-25,baltimore,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,1,2026-04-25,baltimore,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,1,2026-04-25,baltimore,Flu ED visits pct,quantile,0.1,0.031
2026-04-18,1,2026-04-25,baltimore,Flu ED visits pct,quantile,0.25,0.069
2026-04-18,1,2026-04-25,baltimore,Flu ED visits pct,quantile,0.5,0.138
2026-04-18,1,2026-04-25,baltimore,Flu ED visits pct,quantile,0.75,0.294
2026-04-18,1,2026-04-25,baltimore,Flu ED visits pct,quantile,0.9,0.484
2026-04-18,1,2026-04-25,baltimore,Flu ED visits pct,quantile,0.95,0.614
2026-04-18,1,2026-04-25,baltimore,Flu ED visits pct,quantile,0.975,0.766
2026-04-18,2,2026-05-02,baltimore,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,2,2026-05-02,baltimore,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,2,2026-05-02,baltimore,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,2,2026-05-02,baltimore,Flu ED visits pct,quantile,0.25,0.042
2026-04-18,2,2026-05-02,baltimore,Flu ED visits pct,quantile,0.5,0.102
2026-04-18,2,2026-05-02,baltimore,Flu ED visits pct,quantile,0.75,0.229
2026-04-18,2,2026-05-02,baltimore,Flu ED visits pct,quantile,0.9,0.42
2026-04-18,2,2026-05-02,baltimore,Flu ED visits pct,quantile,0.95,0.567
2026-04-18,2,2026-05-02,baltimore,Flu ED visits pct,quantile,0.975,0.684
2026-04-18,3,2026-05-09,baltimore,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,3,2026-05-09,baltimore,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,3,2026-05-09,baltimore,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,3,2026-05-09,baltimore,Flu ED visits pct,quantile,0.25,0.026
2026-04-18,3,2026-05-09,baltimore,Flu ED visits pct,quantile,0.5,0.077
2026-04-18,3,2026-05-09,baltimore,Flu ED visits pct,quantile,0.75,0.184
2026-04-18,3,2026-05-09,baltimore,Flu ED visits pct,quantile,0.9,0.362
2026-04-18,3,2026-05-09,baltimore,Flu ED visits pct,quantile,0.95,0.496
2026-04-18,3,2026-05-09,baltimore,Flu ED visits pct,quantile,0.975,0.585
2026-04-18,0,2026-04-18,bangor,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,0,2026-04-18,bangor,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,0,2026-04-18,bangor,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,0,2026-04-18,bangor,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,0,2026-04-18,bangor,Flu ED visits pct,quantile,0.5,0.302
2026-04-18,0,2026-04-18,bangor,Flu ED visits pct,quantile,0.75,0.612
2026-04-18,0,2026-04-18,bangor,Flu ED visits pct,quantile,0.9,1.069
2026-04-18,0,2026-04-18,bangor,Flu ED visits pct,quantile,0.95,1.443
2026-04-18,0,2026-04-18,bangor,Flu ED visits pct,quantile,0.975,1.792
2026-04-18,1,2026-04-25,bangor,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,1,2026-04-25,bangor,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,1,2026-04-25,bangor,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,1,2026-04-25,bangor,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,1,2026-04-25,bangor,Flu ED visits pct,quantile,0.5,0.158
2026-04-18,1,2026-04-25,bangor,Flu ED visits pct,quantile,0.75,0.469
2026-04-18,1,2026-04-25,bangor,Flu ED visits pct,quantile,0.9,0.884
2026-04-18,1,2026-04-25,bangor,Flu ED visits pct,quantile,0.95,1.145
2026-04-18,1,2026-04-25,bangor,Flu ED visits pct,quantile,0.975,1.527
2026-04-18,2,2026-05-02,bangor,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,2,2026-05-02,bangor,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,2,2026-05-02,bangor,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,2,2026-05-02,bangor,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,2,2026-05-02,bangor,Flu ED visits pct,quantile,0.5,0.0
2026-04-18,2,2026-05-02,bangor,Flu ED visits pct,quantile,0.75,0.33
2026-04-18,2,2026-05-02,bangor,Flu ED visits pct,quantile,0.9,0.62
2026-04-18,2,2026-05-02,bangor,Flu ED visits pct,quantile,0.95,0.865
2026-04-18,2,2026-05-02,bangor,Flu ED visits pct,quantile,0.975,1.235
2026-04-18,3,2026-05-09,bangor,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,3,2026-05-09,bangor,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,3,2026-05-09,bangor,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,3,2026-05-09,bangor,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,3,2026-05-09,bangor,Flu ED visits pct,quantile,0.5,0.0
2026-04-18,3,2026-05-09,bangor,Flu ED visits pct,quantile,0.75,0.23
2026-04-18,3,2026-05-09,bangor,Flu ED visits pct,quantile,0.9,0.51
2026-04-18,3,2026-05-09,bangor,Flu ED visits pct,quantile,0.95,0.7
2026-04-18,3,2026-05-09,bangor,Flu ED visits pct,quantile,0.975,0.898
2026-04-18,0,2026-04-18,beaumont,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,0,2026-04-18,beaumont,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,0,2026-04-18,beaumont,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,0,2026-04-18,beaumont,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,0,2026-04-18,beaumont,Flu ED visits pct,quantile,0.5,0.0
2026-04-18,0,2026-04-18,beaumont,Flu ED visits pct,quantile,0.75,0.167
2026-04-18,0,2026-04-18,beaumont,Flu ED visits pct,quantile,0.9,0.332
2026-04-18,0,2026-04-18,beaumont,Flu ED visits pct,quantile,0.95,0.492
2026-04-18,0,2026-04-18,beaumont,Flu ED visits pct,quantile,0.975,0.716
2026-04-18,1,2026-04-25,beaumont,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,1,2026-04-25,beaumont,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,1,2026-04-25,beaumont,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,1,2026-04-25,beaumont,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,1,2026-04-25,beaumont,Flu ED visits pct,quantile,0.5,0.0
2026-04-18,1,2026-04-25,beaumont,Flu ED visits pct,quantile,0.75,0.142
2026-04-18,1,2026-04-25,beaumont,Flu ED visits pct,quantile,0.9,0.308
2026-04-18,1,2026-04-25,beaumont,Flu ED visits pct,quantile,0.95,0.478
2026-04-18,1,2026-04-25,beaumont,Flu ED visits pct,quantile,0.975,0.623
2026-04-18,2,2026-05-02,beaumont,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,2,2026-05-02,beaumont,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,2,2026-05-02,beaumont,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,2,2026-05-02,beaumont,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,2,2026-05-02,beaumont,Flu ED visits pct,quantile,0.5,0.0
2026-04-18,2,2026-05-02,beaumont,Flu ED visits pct,quantile,0.75,0.053
2026-04-18,2,2026-05-02,beaumont,Flu ED visits pct,quantile,0.9,0.259
2026-04-18,2,2026-05-02,beaumont,Flu ED visits pct,quantile,0.95,0.39
2026-04-18,2,2026-05-02,beaumont,Flu ED visits pct,quantile,0.975,0.555
2026-04-18,3,2026-05-09,beaumont,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,3,2026-05-09,beaumont,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,3,2026-05-09,beaumont,Flu ED visits pct,quantile,0.1,0.0
2026-04-18,3,2026-05-09,beaumont,Flu ED visits pct,quantile,0.25,0.0
2026-04-18,3,2026-05-09,beaumont,Flu ED visits pct,quantile,0.5,0.0
2026-04-18,3,2026-05-09,beaumont,Flu ED visits pct,quantile,0.75,0.0
2026-04-18,3,2026-05-09,beaumont,Flu ED visits pct,quantile,0.9,0.202
2026-04-18,3,2026-05-09,beaumont,Flu ED visits pct,quantile,0.95,0.343
2026-04-18,3,2026-05-09,beaumont,Flu ED visits pct,quantile,0.975,0.476
2026-04-18,0,2026-04-18,boston,Flu ED visits pct,quantile,0.025,0.075
2026-04-18,0,2026-04-18,boston,Flu ED visits pct,quantile,0.05,0.105
2026-04-18,0,2026-04-18,boston,Flu ED visits pct,quantile,0.1,0.139
2026-04-18,0,2026-04-18,boston,Flu ED visits pct,quantile,0.25,0.227
2026-04-18,0,2026-04-18,boston,Flu ED visits pct,quantile,0.5,0.395
2026-04-18,0,2026-04-18,boston,Flu ED visits pct,quantile,0.75,0.687
2026-04-18,0,2026-04-18,boston,Flu ED visits pct,quantile,0.9,1.046
2026-04-18,0,2026-04-18,boston,Flu ED visits pct,quantile,0.95,1.247
2026-04-18,0,2026-04-18,boston,Flu ED visits pct,quantile,0.975,1.406
2026-04-18,1,2026-04-25,boston,Flu ED visits pct,quantile,0.025,0.035
2026-04-18,1,2026-04-25,boston,Flu ED visits pct,quantile,0.05,0.051
2026-04-18,1,2026-04-25,boston,Flu ED visits pct,quantile,0.1,0.075
2026-04-18,1,2026-04-25,boston,Flu ED visits pct,quantile,0.25,0.15
2026-04-18,1,2026-04-25,boston,Flu ED visits pct,quantile,0.5,0.296
2026-04-18,1,2026-04-25,boston,Flu ED visits pct,quantile,0.75,0.552
2026-04-18,1,2026-04-25,boston,Flu ED visits pct,quantile,0.9,0.832
2026-04-18,1,2026-04-25,boston,Flu ED visits pct,quantile,0.95,1.118
2026-04-18,1,2026-04-25,boston,Flu ED visits pct,quantile,0.975,1.276
2026-04-18,2,2026-05-02,boston,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,2,2026-05-02,boston,Flu ED visits pct,quantile,0.05,0.017
2026-04-18,2,2026-05-02,boston,Flu ED visits pct,quantile,0.1,0.033
2026-04-18,2,2026-05-02,boston,Flu ED visits pct,quantile,0.25,0.082
2026-04-18,2,2026-05-02,boston,Flu ED visits pct,quantile,0.5,0.2
2026-04-18,2,2026-05-02,boston,Flu ED visits pct,quantile,0.75,0.397
2026-04-18,2,2026-05-02,boston,Flu ED visits pct,quantile,0.9,0.631
2026-04-18,2,2026-05-02,boston,Flu ED visits pct,quantile,0.95,0.874
2026-04-18,2,2026-05-02,boston,Flu ED visits pct,quantile,0.975,1.059
2026-04-18,3,2026-05-09,boston,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,3,2026-05-09,boston,Flu ED visits pct,quantile,0.05,0.0
2026-04-18,3,2026-05-09,boston,Flu ED visits pct,quantile,0.1,0.013
2026-04-18,3,2026-05-09,boston,Flu ED visits pct,quantile,0.25,0.044
2026-04-18,3,2026-05-09,boston,Flu ED visits pct,quantile,0.5,0.125
2026-04-18,3,2026-05-09,boston,Flu ED visits pct,quantile,0.75,0.282
2026-04-18,3,2026-05-09,boston,Flu ED visits pct,quantile,0.9,0.497
2026-04-18,3,2026-05-09,boston,Flu ED visits pct,quantile,0.95,0.734
2026-04-18,3,2026-05-09,boston,Flu ED visits pct,quantile,0.975,0.833
2026-04-18,0,2026-04-18,boulder,Flu ED visits pct,quantile,0.025,0.0
2026-04-18,0,2026-04-18,boulder,Flu ED visits pct,quantile,0.05,0.0
