reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-21,Flu ED visits pct,0,2026-02-21,boulder,quantile,0.025,1.2423285237401
2026-02-21,Flu ED visits pct,0,2026-02-21,boulder,quantile,0.05,1.4189723115081803
2026-02-21,Flu ED visits pct,0,2026-02-21,boulder,quantile,0.1,1.648866583413747
2026-02-21,Flu ED visits pct,0,2026-02-21,boulder,quantile,0.25,2.1409864477756453
2026-02-21,Flu ED visits pct,0,2026-02-21,boulder,quantile,0.5,2.7979859470413926
2026-02-21,Flu ED visits pct,0,2026-02-21,boulder,quantile,0.75,3.5618099424574625
2026-02-21,Flu ED visits pct,0,2026-02-21,boulder,quantile,0.9,4.398636602088908
2026-02-21,Flu ED visits pct,0,2026-02-21,boulder,quantile,0.95,4.999559866948108
2026-02-21,Flu ED visits pct,0,2026-02-21,boulder,quantile,0.975,5.592032743466906
2026-02-21,Flu ED visits pct,0,2026-02-21,colorado-springs,quantile,0.025,0.7602027583884189
2026-02-21,Flu ED visits pct,0,2026-02-21,colorado-springs,quantile,0.05,0.886301983827651
2026-02-21,Flu ED visits pct,0,2026-02-21,colorado-springs,quantile,0.1,1.067164659823066
2026-02-21,Flu ED visits pct,0,2026-02-21,colorado-springs,quantile,0.25,1.4310032318335113
2026-02-21,Flu ED visits pct,0,2026-02-21,colorado-springs,quantile,0.5,1.9002950464639263
2026-02-21,Flu ED visits pct,0,2026-02-21,colorado-springs,quantile,0.75,2.471138095251629
2026-02-21,Flu ED visits pct,0,2026-02-21,colorado-springs,quantile,0.9,3.1093379425074517
2026-02-21,Flu ED visits pct,0,2026-02-21,colorado-springs,quantile,0.95,3.5720621919449322
2026-02-21,Flu ED visits pct,0,2026-02-21,colorado-springs,quantile,0.975,4.043839804630642
2026-02-21,Flu ED visits pct,0,2026-02-21,denver,quantile,0.025,0.5936513769921126
2026-02-21,Flu ED visits pct,0,2026-02-21,denver,quantile,0.05,0.7162732025932824
2026-02-21,Flu ED visits pct,0,2026-02-21,denver,quantile,0.1,0.8808936349459608
2026-02-21,Flu ED visits pct,0,2026-02-21,denver,quantile,0.25,1.185575474216648
2026-02-21,Flu ED visits pct,0,2026-02-21,denver,quantile,0.5,1.5941774673952995
2026-02-21,Flu ED visits pct,0,2026-02-21,denver,quantile,0.75,2.11899031896767
2026-02-21,Flu ED visits pct,0,2026-02-21,denver,quantile,0.9,2.6676251656489547
2026-02-21,Flu ED visits pct,0,2026-02-21,denver,quantile,0.95,3.0512882995688684
2026-02-21,Flu ED visits pct,0,2026-02-21,denver,quantile,0.975,3.416977325104635
2026-02-21,Flu ED visits pct,0,2026-02-21,larimer,quantile,0.025,0.6919938937776486
2026-02-21,Flu ED visits pct,0,2026-02-21,larimer,quantile,0.05,0.8149496488488869
2026-02-21,Flu ED visits pct,0,2026-02-21,larimer,quantile,0.1,0.9737446279186195
2026-02-21,Flu ED visits pct,0,2026-02-21,larimer,quantile,0.25,1.2993558872271829
2026-02-21,Flu ED visits pct,0,2026-02-21,larimer,quantile,0.5,1.7380029668550825
2026-02-21,Flu ED visits pct,0,2026-02-21,larimer,quantile,0.75,2.282210747975436
2026-02-21,Flu ED visits pct,0,2026-02-21,larimer,quantile,0.9,2.865061572373535
2026-02-21,Flu ED visits pct,0,2026-02-21,larimer,quantile,0.95,3.264618244049924
2026-02-21,Flu ED visits pct,0,2026-02-21,larimer,quantile,0.975,3.6262043692020365
2026-02-21,Flu ED visits pct,0,2026-02-21,mesa,quantile,0.025,0.754653541546234
2026-02-21,Flu ED visits pct,0,2026-02-21,mesa,quantile,0.05,0.9039235918380115
2026-02-21,Flu ED visits pct,0,2026-02-21,mesa,quantile,0.1,1.0801276051097133
2026-02-21,Flu ED visits pct,0,2026-02-21,mesa,quantile,0.25,1.4184505613813911
2026-02-21,Flu ED visits pct,0,2026-02-21,mesa,quantile,0.5,1.9007123440290012
2026-02-21,Flu ED visits pct,0,2026-02-21,mesa,quantile,0.75,2.461950997226816
2026-02-21,Flu ED visits pct,0,2026-02-21,mesa,quantile,0.9,3.0671740347016363
2026-02-21,Flu ED visits pct,0,2026-02-21,mesa,quantile,0.95,3.5221518457516554
2026-02-21,Flu ED visits pct,0,2026-02-21,mesa,quantile,0.975,3.9479515353019536
2026-02-21,Flu ED visits pct,0,2026-02-21,weld,quantile,0.025,0.5662051746283665
2026-02-21,Flu ED visits pct,0,2026-02-21,weld,quantile,0.05,0.6907377071853723
2026-02-21,Flu ED visits pct,0,2026-02-21,weld,quantile,0.1,0.8245483486175355
2026-02-21,Flu ED visits pct,0,2026-02-21,weld,quantile,0.25,1.1154192448554212
2026-02-21,Flu ED visits pct,0,2026-02-21,weld,quantile,0.5,1.4983034707305993
2026-02-21,Flu ED visits pct,0,2026-02-21,weld,quantile,0.75,2.002787703136785
2026-02-21,Flu ED visits pct,0,2026-02-21,weld,quantile,0.9,2.5088780928908645
2026-02-21,Flu ED visits pct,0,2026-02-21,weld,quantile,0.95,2.8805778342211004
2026-02-21,Flu ED visits pct,0,2026-02-21,weld,quantile,0.975,3.277556075528023
2026-02-21,Flu ED visits pct,1,2026-02-28,boulder,quantile,0.025,0.8106736020687292
2026-02-21,Flu ED visits pct,1,2026-02-28,boulder,quantile,0.05,0.9897887179527649
2026-02-21,Flu ED visits pct,1,2026-02-28,boulder,quantile,0.1,1.2246193234443281
2026-02-21,Flu ED visits pct,1,2026-02-28,boulder,quantile,0.25,1.6916936207850244
2026-02-21,Flu ED visits pct,1,2026-02-28,boulder,quantile,0.5,2.33973571067117
2026-02-21,Flu ED visits pct,1,2026-02-28,boulder,quantile,0.75,3.2003181738903064
2026-02-21,Flu ED visits pct,1,2026-02-28,boulder,quantile,0.9,4.118620041072424
2026-02-21,Flu ED visits pct,1,2026-02-28,boulder,quantile,0.95,4.962355194963009
2026-02-21,Flu ED visits pct,1,2026-02-28,boulder,quantile,0.975,5.787588390769088
2026-02-21,Flu ED visits pct,1,2026-02-28,colorado-springs,quantile,0.025,0.5137469268602114
2026-02-21,Flu ED visits pct,1,2026-02-28,colorado-springs,quantile,0.05,0.6417501760191754
2026-02-21,Flu ED visits pct,1,2026-02-28,colorado-springs,quantile,0.1,0.81903428144599
2026-02-21,Flu ED visits pct,1,2026-02-28,colorado-springs,quantile,0.25,1.1586897867888135
2026-02-21,Flu ED visits pct,1,2026-02-28,colorado-springs,quantile,0.5,1.6345653478636035
2026-02-21,Flu ED visits pct,1,2026-02-28,colorado-springs,quantile,0.75,2.2536979511664788
2026-02-21,Flu ED visits pct,1,2026-02-28,colorado-springs,quantile,0.9,2.9635747511585295
2026-02-21,Flu ED visits pct,1,2026-02-28,colorado-springs,quantile,0.95,3.4867005807355835
2026-02-21,Flu ED visits pct,1,2026-02-28,colorado-springs,quantile,0.975,4.122364019123101
2026-02-21,Flu ED visits pct,1,2026-02-28,denver,quantile,0.025,0.43205314555606106
2026-02-21,Flu ED visits pct,1,2026-02-28,denver,quantile,0.05,0.5422353689962528
2026-02-21,Flu ED visits pct,1,2026-02-28,denver,quantile,0.1,0.6983188552364127
2026-02-21,Flu ED visits pct,1,2026-02-28,denver,quantile,0.25,1.014367442660238
2026-02-21,Flu ED visits pct,1,2026-02-28,denver,quantile,0.5,1.4531845774331988
2026-02-21,Flu ED visits pct,1,2026-02-28,denver,quantile,0.75,2.0102648094402404
2026-02-21,Flu ED visits pct,1,2026-02-28,denver,quantile,0.9,2.6643828369803497
2026-02-21,Flu ED visits pct,1,2026-02-28,denver,quantile,0.95,3.141569542280313
2026-02-21,Flu ED visits pct,1,2026-02-28,denver,quantile,0.975,3.573727318683516
2026-02-21,Flu ED visits pct,1,2026-02-28,larimer,quantile,0.025,0.47003532813506693
2026-02-21,Flu ED visits pct,1,2026-02-28,larimer,quantile,0.05,0.5790682794265715
2026-02-21,Flu ED visits pct,1,2026-02-28,larimer,quantile,0.1,0.7243442058318306
2026-02-21,Flu ED visits pct,1,2026-02-28,larimer,quantile,0.25,1.0431348003132535
2026-02-21,Flu ED visits pct,1,2026-02-28,larimer,quantile,0.5,1.5110756255793625
2026-02-21,Flu ED visits pct,1,2026-02-28,larimer,quantile,0.75,2.120722019450637
2026-02-21,Flu ED visits pct,1,2026-02-28,larimer,quantile,0.9,2.775362188603453
2026-02-21,Flu ED visits pct,1,2026-02-28,larimer,quantile,0.95,3.252835517079437
2026-02-21,Flu ED visits pct,1,2026-02-28,larimer,quantile,0.975,3.723881800725806
2026-02-21,Flu ED visits pct,1,2026-02-28,mesa,quantile,0.025,0.4983409647953226
2026-02-21,Flu ED visits pct,1,2026-02-28,mesa,quantile,0.05,0.6038437484790559
2026-02-21,Flu ED visits pct,1,2026-02-28,mesa,quantile,0.1,0.7474950470635507
