"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
"2026-05-16","colorado",0,"Flu ED visits pct","2026-05-16","quantile",0.025,0
"2026-05-16","denver",0,"Flu ED visits pct","2026-05-16","quantile",0.025,0
"2026-05-16","mesa",0,"Flu ED visits pct","2026-05-16","quantile",0.025,0
"2026-05-16","colorado-springs",0,"Flu ED visits pct","2026-05-16","quantile",0.025,0
"2026-05-16","weld",0,"Flu ED visits pct","2026-05-16","quantile",0.025,0
"2026-05-16","boulder",0,"Flu ED visits pct","2026-05-16","quantile",0.025,0
"2026-05-16","larimer",0,"Flu ED visits pct","2026-05-16","quantile",0.025,0
"2026-05-16","colorado",0,"Flu ED visits pct","2026-05-16","quantile",0.05,0
"2026-05-16","denver",0,"Flu ED visits pct","2026-05-16","quantile",0.05,0
"2026-05-16","mesa",0,"Flu ED visits pct","2026-05-16","quantile",0.05,0
"2026-05-16","colorado-springs",0,"Flu ED visits pct","2026-05-16","quantile",0.05,0
"2026-05-16","weld",0,"Flu ED visits pct","2026-05-16","quantile",0.05,0
"2026-05-16","boulder",0,"Flu ED visits pct","2026-05-16","quantile",0.05,0
"2026-05-16","larimer",0,"Flu ED visits pct","2026-05-16","quantile",0.05,0
"2026-05-16","colorado",0,"Flu ED visits pct","2026-05-16","quantile",0.1,0
"2026-05-16","denver",0,"Flu ED visits pct","2026-05-16","quantile",0.1,0
"2026-05-16","mesa",0,"Flu ED visits pct","2026-05-16","quantile",0.1,0
"2026-05-16","colorado-springs",0,"Flu ED visits pct","2026-05-16","quantile",0.1,0
"2026-05-16","weld",0,"Flu ED visits pct","2026-05-16","quantile",0.1,0
"2026-05-16","boulder",0,"Flu ED visits pct","2026-05-16","quantile",0.1,0
"2026-05-16","larimer",0,"Flu ED visits pct","2026-05-16","quantile",0.1,0
"2026-05-16","colorado",0,"Flu ED visits pct","2026-05-16","quantile",0.25,0
"2026-05-16","denver",0,"Flu ED visits pct","2026-05-16","quantile",0.25,0
"2026-05-16","mesa",0,"Flu ED visits pct","2026-05-16","quantile",0.25,0
"2026-05-16","colorado-springs",0,"Flu ED visits pct","2026-05-16","quantile",0.25,0.0211875726434124
"2026-05-16","weld",0,"Flu ED visits pct","2026-05-16","quantile",0.25,0
"2026-05-16","boulder",0,"Flu ED visits pct","2026-05-16","quantile",0.25,0
"2026-05-16","larimer",0,"Flu ED visits pct","2026-05-16","quantile",0.25,0
"2026-05-16","colorado",0,"Flu ED visits pct","2026-05-16","quantile",0.5,0.0384798244283572
"2026-05-16","denver",0,"Flu ED visits pct","2026-05-16","quantile",0.5,0.00317225080766981
"2026-05-16","mesa",0,"Flu ED visits pct","2026-05-16","quantile",0.5,0
"2026-05-16","colorado-springs",0,"Flu ED visits pct","2026-05-16","quantile",0.5,0.131557662969397
"2026-05-16","weld",0,"Flu ED visits pct","2026-05-16","quantile",0.5,0.136363885322424
"2026-05-16","boulder",0,"Flu ED visits pct","2026-05-16","quantile",0.5,0.00317029625116449
"2026-05-16","larimer",0,"Flu ED visits pct","2026-05-16","quantile",0.5,0
"2026-05-16","colorado",0,"Flu ED visits pct","2026-05-16","quantile",0.75,0.109081049976322
"2026-05-16","denver",0,"Flu ED visits pct","2026-05-16","quantile",0.75,0.0791627107876044
"2026-05-16","mesa",0,"Flu ED visits pct","2026-05-16","quantile",0.75,0.00344272370741033
"2026-05-16","colorado-springs",0,"Flu ED visits pct","2026-05-16","quantile",0.75,0.269196407120169
"2026-05-16","weld",0,"Flu ED visits pct","2026-05-16","quantile",0.75,0.419017267569422
"2026-05-16","boulder",0,"Flu ED visits pct","2026-05-16","quantile",0.75,0.194806547632681
"2026-05-16","larimer",0,"Flu ED visits pct","2026-05-16","quantile",0.75,0
"2026-05-16","colorado",0,"Flu ED visits pct","2026-05-16","quantile",0.9,0.181112217502937
"2026-05-16","denver",0,"Flu ED visits pct","2026-05-16","quantile",0.9,0.160470596472929
"2026-05-16","mesa",0,"Flu ED visits pct","2026-05-16","quantile",0.9,0.24583458124222
"2026-05-16","colorado-springs",0,"Flu ED visits pct","2026-05-16","quantile",0.9,0.431442066692097
"2026-05-16","weld",0,"Flu ED visits pct","2026-05-16","quantile",0.9,0.767080579596662
"2026-05-16","boulder",0,"Flu ED visits pct","2026-05-16","quantile",0.9,0.393736956452071
"2026-05-16","larimer",0,"Flu ED visits pct","2026-05-16","quantile",0.9,0.0108302434037511
"2026-05-16","colorado",0,"Flu ED visits pct","2026-05-16","quantile",0.95,0.2270581557641
"2026-05-16","denver",0,"Flu ED visits pct","2026-05-16","quantile",0.95,0.199861934098579
"2026-05-16","mesa",0,"Flu ED visits pct","2026-05-16","quantile",0.95,0.454042971179805
"2026-05-16","colorado-springs",0,"Flu ED visits pct","2026-05-16","quantile",0.95,0.546155634647207
"2026-05-16","weld",0,"Flu ED visits pct","2026-05-16","quantile",0.95,1.06722084706629
"2026-05-16","boulder",0,"Flu ED visits pct","2026-05-16","quantile",0.95,0.542849664002366
"2026-05-16","larimer",0,"Flu ED visits pct","2026-05-16","quantile",0.95,0.0909991344245279
"2026-05-16","colorado",0,"Flu ED visits pct","2026-05-16","quantile",0.975,0.280160132440898
"2026-05-16","denver",0,"Flu ED visits pct","2026-05-16","quantile",0.975,0.243978978887892
"2026-05-16","mesa",0,"Flu ED visits pct","2026-05-16","quantile",0.975,0.641003894601084
"2026-05-16","colorado-springs",0,"Flu ED visits pct","2026-05-16","quantile",0.975,0.647956592200592
"2026-05-16","weld",0,"Flu ED visits pct","2026-05-16","quantile",0.975,1.33514258411469
"2026-05-16","boulder",0,"Flu ED visits pct","2026-05-16","quantile",0.975,0.702968953723857
"2026-05-16","larimer",0,"Flu ED visits pct","2026-05-16","quantile",0.975,0.172311678461184
"2026-05-16","colorado",1,"Flu ED visits pct","2026-05-23","quantile",0.025,0
"2026-05-16","denver",1,"Flu ED visits pct","2026-05-23","quantile",0.025,0
"2026-05-16","mesa",1,"Flu ED visits pct","2026-05-23","quantile",0.025,0
"2026-05-16","colorado-springs",1,"Flu ED visits pct","2026-05-23","quantile",0.025,0
"2026-05-16","weld",1,"Flu ED visits pct","2026-05-23","quantile",0.025,0
"2026-05-16","boulder",1,"Flu ED visits pct","2026-05-23","quantile",0.025,0
"2026-05-16","larimer",1,"Flu ED visits pct","2026-05-23","quantile",0.025,0
"2026-05-16","colorado",1,"Flu ED visits pct","2026-05-23","quantile",0.05,0
"2026-05-16","denver",1,"Flu ED visits pct","2026-05-23","quantile",0.05,0
"2026-05-16","mesa",1,"Flu ED visits pct","2026-05-23","quantile",0.05,0
"2026-05-16","colorado-springs",1,"Flu ED visits pct","2026-05-23","quantile",0.05,0
"2026-05-16","weld",1,"Flu ED visits pct","2026-05-23","quantile",0.05,0
"2026-05-16","boulder",1,"Flu ED visits pct","2026-05-23","quantile",0.05,0
"2026-05-16","larimer",1,"Flu ED visits pct","2026-05-23","quantile",0.05,0
"2026-05-16","colorado",1,"Flu ED visits pct","2026-05-23","quantile",0.1,0
"2026-05-16","denver",1,"Flu ED visits pct","2026-05-23","quantile",0.1,0
"2026-05-16","mesa",1,"Flu ED visits pct","2026-05-23","quantile",0.1,0
"2026-05-16","colorado-springs",1,"Flu ED visits pct","2026-05-23","quantile",0.1,0
"2026-05-16","weld",1,"Flu ED visits pct","2026-05-23","quantile",0.1,0
"2026-05-16","boulder",1,"Flu ED visits pct","2026-05-23","quantile",0.1,0
"2026-05-16","larimer",1,"Flu ED visits pct","2026-05-23","quantile",0.1,0
"2026-05-16","colorado",1,"Flu ED visits pct","2026-05-23","quantile",0.25,0
"2026-05-16","denver",1,"Flu ED visits pct","2026-05-23","quantile",0.25,0
"2026-05-16","mesa",1,"Flu ED visits pct","2026-05-23","quantile",0.25,0
"2026-05-16","colorado-springs",1,"Flu ED visits pct","2026-05-23","quantile",0.25,0
"2026-05-16","weld",1,"Flu ED visits pct","2026-05-23","quantile",0.25,0
"2026-05-16","boulder",1,"Flu ED visits pct","2026-05-23","quantile",0.25,0
