location,reference_date,horizon,target_end_date,target,output_type,output_type_id,value
athens,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.09453798049650562
austin,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.11595686887868999
baltimore,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.07579421622492274
bangor,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.07816825357781078
beaumont,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.0859333958348945
boston,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.1984754992975686
boulder,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.1344556679397545
charleston,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.07544968328131159
cherokee,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.11625143116308974
clt-area,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.6323260369630281
colorado,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.28891381210534356
colorado-springs,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.20820784414660554
columbia,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.02487743632686132
columbus,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.04695632880622362
dallas,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.09690398066272694
denver,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.27572938056548923
deschutes,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.0494447042222904
duluth,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.1214468131476882
el-paso,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.7200089553807244
eugene,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.014145501368622993
fay-area,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.5739395920895446
florence,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.0035353166950182393
floyd,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.04776006272689203
frederick,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.046308439176452845
georgia,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.14782232247514054
greenville,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.05199879382992055
hall,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.06294472041113185
harford,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.022468966285920607
henry,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.021649387699300728
horry,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.08043423101504002
houston,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.18917811447971725
indiana,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.10189657597645396
indianapolis,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.031609973000374894
la-grange,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.02128052266519894
larimer,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.061323462171475794
lynn,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.14932267990890125
macon,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.04570263156420892
maine,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.3019212991316876
marietta,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.03345224508478042
maryland,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.12102741276182653
massachusetts,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.2644555921350723
medford,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.012864641774679714
mesa,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.0
minneapolis,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.2544709327582207
minnesota,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.26569602902152867
montgomery,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.09570633837099533
nenc,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.05586783707053441
new-bedford,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.3344806585292206
north-carolina,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.31917804899158614
nyc,2026-04-25,0,2026-04-25,ILI ED visits pct,quantile,0.025,0.911604076600178
ogden,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.015189932712486988
oregon,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.17522898223115727
pittsfield,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.015133801766264209
portland,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.2220157083139302
portland-or,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.14796919120081728
provo,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.0712313785582623
roanoke,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.14427476058004313
rochester,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.01370469832738031
rock-hill,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.02038856085246498
rtp-area,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.08316437950254636
salem,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.06899325623280754
salt-lake-city,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.14664000349799144
san-antonio,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.1105958461454934
savannah,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.03287502416751556
senc,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.13476372436445624
south-augusta,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.04408412540996491
south-carolina,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.11733809580482442
springfield,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.1814567912122488
st-cloud,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.12013233767691918
st-paul,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.2331435070312685
texas,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.2531688519219625
triad-area,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.2019923751702306
utah,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.152491953307181
virginia,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.1286599462619454
weld,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.10113246669428608
wnc,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.09392571947367538
worcester,2026-04-25,0,2026-04-25,Flu ED visits pct,quantile,0.025,0.17095170800235407
athens,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.07677602630738407
austin,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.10148882003951598
baltimore,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.06095645623555867
bangor,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.057515935102106265
beaumont,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.0713036504519704
boston,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.16139019072447197
boulder,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.11564309173753921
charleston,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.06397758881634578
cherokee,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.09161580056048697
clt-area,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.4698715534202544
colorado,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.24577283437677494
colorado-springs,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.16655160224651852
columbia,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.01840680693192394
columbus,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.037398315383243196
dallas,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.08212229414501837
denver,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.2279719125773752
deschutes,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.039416857843766216
duluth,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.09218685172810398
el-paso,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.6142048648317081
eugene,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.00971594333813412
fay-area,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.43108328773707033
florence,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.0002940483068285399
floyd,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.03752430189661062
frederick,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.03202277323488488
georgia,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.13020692077119825
greenville,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.041814331034150394
hall,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.05070544114455014
harford,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.017435500997080647
henry,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.015147465433518486
horry,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.06621315392646485
houston,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.16809068177253725
indiana,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.08302549317658818
indianapolis,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.025925731416783532
la-grange,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.014831628925089954
larimer,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.04466373635581839
lynn,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.11925861733296957
macon,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.037602992407820286
maine,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.2327964664302379
marietta,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.026783821273279343
maryland,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.09985333904797947
massachusetts,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.21038602499167125
medford,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.010898634893621683
mesa,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.0
minneapolis,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.21482747207187083
minnesota,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.22117233733488004
montgomery,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.07897712233252861
nenc,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.0435983107265916
new-bedford,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.2559863249608445
north-carolina,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.2530911386331021
nyc,2026-04-25,1,2026-05-02,ILI ED visits pct,quantile,0.025,0.8135426580362174
ogden,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.010721109099100455
oregon,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.15216276045505817
pittsfield,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.006779118484747276
portland,2026-04-25,1,2026-05-02,Flu ED visits pct,quantile,0.025,0.1706804451158642
