reference_date,target,horizon,target_end_date,location,output_type,output_type_id,value
2026-02-07,Flu ED visits pct,0,2026-02-07,athens,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,0,2026-02-07,athens,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,0,2026-02-07,athens,quantile,0.1,0.0
2026-02-07,Flu ED visits pct,0,2026-02-07,athens,quantile,0.25,0.0
2026-02-07,Flu ED visits pct,0,2026-02-07,athens,quantile,0.5,1.0043235731706275
2026-02-07,Flu ED visits pct,0,2026-02-07,athens,quantile,0.75,2.05535509627716
2026-02-07,Flu ED visits pct,0,2026-02-07,athens,quantile,0.9,2.4476338264328072
2026-02-07,Flu ED visits pct,0,2026-02-07,athens,quantile,0.95,2.5380440244947455
2026-02-07,Flu ED visits pct,0,2026-02-07,athens,quantile,0.975,2.5768955204386144
2026-02-07,Flu ED visits pct,1,2026-02-14,athens,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,1,2026-02-14,athens,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,1,2026-02-14,athens,quantile,0.1,0.0
2026-02-07,Flu ED visits pct,1,2026-02-14,athens,quantile,0.25,0.0
2026-02-07,Flu ED visits pct,1,2026-02-14,athens,quantile,0.5,0.9056052596086346
2026-02-07,Flu ED visits pct,1,2026-02-14,athens,quantile,0.75,1.9850077976207834
2026-02-07,Flu ED visits pct,1,2026-02-14,athens,quantile,0.9,2.3878755019943565
2026-02-07,Flu ED visits pct,1,2026-02-14,athens,quantile,0.95,2.480726187349438
2026-02-07,Flu ED visits pct,1,2026-02-14,athens,quantile,0.975,2.520626420982231
2026-02-07,Flu ED visits pct,2,2026-02-21,athens,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,athens,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,athens,quantile,0.1,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,athens,quantile,0.25,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,athens,quantile,0.5,0.5037774324880533
2026-02-07,Flu ED visits pct,2,2026-02-21,athens,quantile,0.75,1.5969157269814198
2026-02-07,Flu ED visits pct,2,2026-02-21,athens,quantile,0.9,2.0049100569525335
2026-02-07,Flu ED visits pct,2,2026-02-21,athens,quantile,0.95,2.098942298176012
2026-02-07,Flu ED visits pct,2,2026-02-21,athens,quantile,0.975,2.1393502755590963
2026-02-07,Flu ED visits pct,3,2026-02-28,athens,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,3,2026-02-28,athens,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,3,2026-02-28,athens,quantile,0.1,0.0
2026-02-07,Flu ED visits pct,3,2026-02-28,athens,quantile,0.25,0.0
2026-02-07,Flu ED visits pct,3,2026-02-28,athens,quantile,0.5,0.3434966443039308
2026-02-07,Flu ED visits pct,3,2026-02-28,athens,quantile,0.75,1.4162209754516584
2026-02-07,Flu ED visits pct,3,2026-02-28,athens,quantile,0.9,1.8165961584774901
2026-02-07,Flu ED visits pct,3,2026-02-28,athens,quantile,0.95,1.9088723815143283
2026-02-07,Flu ED visits pct,3,2026-02-28,athens,quantile,0.975,1.9485257544952748
2026-02-07,Flu ED visits pct,0,2026-02-07,austin,quantile,0.025,0.1786017215494821
2026-02-07,Flu ED visits pct,0,2026-02-07,austin,quantile,0.05,0.24768964228445547
2026-02-07,Flu ED visits pct,0,2026-02-07,austin,quantile,0.1,0.40846215427113997
2026-02-07,Flu ED visits pct,0,2026-02-07,austin,quantile,0.25,1.1060343109305526
2026-02-07,Flu ED visits pct,0,2026-02-07,austin,quantile,0.5,2.9750378278929563
2026-02-07,Flu ED visits pct,0,2026-02-07,austin,quantile,0.75,4.84404134485536
2026-02-07,Flu ED visits pct,0,2026-02-07,austin,quantile,0.9,5.541613501514773
2026-02-07,Flu ED visits pct,0,2026-02-07,austin,quantile,0.95,5.702386013501458
2026-02-07,Flu ED visits pct,0,2026-02-07,austin,quantile,0.975,5.771473934236431
2026-02-07,Flu ED visits pct,1,2026-02-14,austin,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,1,2026-02-14,austin,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,1,2026-02-14,austin,quantile,0.1,0.0
2026-02-07,Flu ED visits pct,1,2026-02-14,austin,quantile,0.25,0.05306638137025204
2026-02-07,Flu ED visits pct,1,2026-02-14,austin,quantile,0.5,2.047913210807902
2026-02-07,Flu ED visits pct,1,2026-02-14,austin,quantile,0.75,4.042760040245551
2026-02-07,Flu ED visits pct,1,2026-02-14,austin,quantile,0.9,4.787300963998134
2026-02-07,Flu ED visits pct,1,2026-02-14,austin,quantile,0.95,4.958898573572785
2026-02-07,Flu ED visits pct,1,2026-02-14,austin,quantile,0.975,5.032638306205602
2026-02-07,Flu ED visits pct,2,2026-02-21,austin,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,austin,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,austin,quantile,0.1,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,austin,quantile,0.25,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,austin,quantile,0.5,0.9851243995790682
2026-02-07,Flu ED visits pct,2,2026-02-21,austin,quantile,0.75,2.9562960105062603
2026-02-07,Flu ED visits pct,2,2026-02-21,austin,quantile,0.9,3.692000582114057
2026-02-07,Flu ED visits pct,2,2026-02-21,austin,quantile,0.95,3.8615616388854552
2026-02-07,Flu ED visits pct,2,2026-02-21,austin,quantile,0.975,3.934426214459984
2026-02-07,Flu ED visits pct,3,2026-02-28,austin,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,3,2026-02-28,austin,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,3,2026-02-28,austin,quantile,0.1,0.0
2026-02-07,Flu ED visits pct,3,2026-02-28,austin,quantile,0.25,0.0
2026-02-07,Flu ED visits pct,3,2026-02-28,austin,quantile,0.5,0.5585146573846468
2026-02-07,Flu ED visits pct,3,2026-02-28,austin,quantile,0.75,2.5845234294900274
2026-02-07,Flu ED visits pct,3,2026-02-28,austin,quantile,0.9,3.340694991363481
2026-02-07,Flu ED visits pct,3,2026-02-28,austin,quantile,0.95,3.5149731650759786
2026-02-07,Flu ED visits pct,3,2026-02-28,austin,quantile,0.975,3.5898648023496564
2026-02-07,Flu ED visits pct,0,2026-02-07,baltimore,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,0,2026-02-07,baltimore,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,0,2026-02-07,baltimore,quantile,0.1,0.0
2026-02-07,Flu ED visits pct,0,2026-02-07,baltimore,quantile,0.25,0.3039951926798258
2026-02-07,Flu ED visits pct,0,2026-02-07,baltimore,quantile,0.5,1.2660151938299846
2026-02-07,Flu ED visits pct,0,2026-02-07,baltimore,quantile,0.75,2.2280351949801434
2026-02-07,Flu ED visits pct,0,2026-02-07,baltimore,quantile,0.9,2.5870919655326547
2026-02-07,Flu ED visits pct,0,2026-02-07,baltimore,quantile,0.95,2.6698453529728865
2026-02-07,Flu ED visits pct,0,2026-02-07,baltimore,quantile,0.975,2.7054065282097
2026-02-07,Flu ED visits pct,1,2026-02-14,baltimore,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,1,2026-02-14,baltimore,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,1,2026-02-14,baltimore,quantile,0.1,0.021312713413553792
2026-02-07,Flu ED visits pct,1,2026-02-14,baltimore,quantile,0.25,0.3652061062575521
2026-02-07,Flu ED visits pct,1,2026-02-14,baltimore,quantile,0.5,1.2865989034752046
2026-02-07,Flu ED visits pct,1,2026-02-14,baltimore,quantile,0.75,2.207991700692857
2026-02-07,Flu ED visits pct,1,2026-02-14,baltimore,quantile,0.9,2.551885093536855
2026-02-07,Flu ED visits pct,1,2026-02-14,baltimore,quantile,0.95,2.6311437108645936
2026-02-07,Flu ED visits pct,1,2026-02-14,baltimore,quantile,0.975,2.665203097036005
2026-02-07,Flu ED visits pct,2,2026-02-21,baltimore,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,baltimore,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,baltimore,quantile,0.1,0.0
2026-02-07,Flu ED visits pct,2,2026-02-21,baltimore,quantile,0.25,0.11939239187385939
2026-02-07,Flu ED visits pct,2,2026-02-21,baltimore,quantile,0.5,1.0247308443692396
2026-02-07,Flu ED visits pct,2,2026-02-21,baltimore,quantile,0.75,1.9300692968646196
2026-02-07,Flu ED visits pct,2,2026-02-21,baltimore,quantile,0.9,2.2679706924919034
2026-02-07,Flu ED visits pct,2,2026-02-21,baltimore,quantile,0.95,2.345848307961767
2026-02-07,Flu ED visits pct,2,2026-02-21,baltimore,quantile,0.975,2.379314243513338
2026-02-07,Flu ED visits pct,3,2026-02-28,baltimore,quantile,0.025,0.0
2026-02-07,Flu ED visits pct,3,2026-02-28,baltimore,quantile,0.05,0.0
2026-02-07,Flu ED visits pct,3,2026-02-28,baltimore,quantile,0.1,0.0
