"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2025-12-06,"athens",0,"Flu ED visits pct",2025-12-06,"quantile",0.025,0
2025-12-06,"athens",0,"Flu ED visits pct",2025-12-06,"quantile",0.05,0.55
2025-12-06,"athens",0,"Flu ED visits pct",2025-12-06,"quantile",0.1,1.04
2025-12-06,"athens",0,"Flu ED visits pct",2025-12-06,"quantile",0.25,1.6425
2025-12-06,"athens",0,"Flu ED visits pct",2025-12-06,"quantile",0.5,1.75
2025-12-06,"athens",0,"Flu ED visits pct",2025-12-06,"quantile",0.75,1.8575
2025-12-06,"athens",0,"Flu ED visits pct",2025-12-06,"quantile",0.9,2.46
2025-12-06,"athens",0,"Flu ED visits pct",2025-12-06,"quantile",0.95,2.95
2025-12-06,"athens",0,"Flu ED visits pct",2025-12-06,"quantile",0.975,4.71273648648647
2025-12-06,"athens",1,"Flu ED visits pct",2025-12-13,"quantile",0.025,0
2025-12-06,"athens",1,"Flu ED visits pct",2025-12-13,"quantile",0.05,0
2025-12-06,"athens",1,"Flu ED visits pct",2025-12-13,"quantile",0.1,0.524604604604604
2025-12-06,"athens",1,"Flu ED visits pct",2025-12-13,"quantile",0.25,1.4250025025025
2025-12-06,"athens",1,"Flu ED visits pct",2025-12-13,"quantile",0.5,1.75
2025-12-06,"athens",1,"Flu ED visits pct",2025-12-13,"quantile",0.75,2.07461961961962
2025-12-06,"athens",1,"Flu ED visits pct",2025-12-13,"quantile",0.9,2.98043243243243
2025-12-06,"athens",1,"Flu ED visits pct",2025-12-13,"quantile",0.95,4.36105555555556
2025-12-06,"athens",1,"Flu ED visits pct",2025-12-13,"quantile",0.975,5.39643468468468
2025-12-06,"athens",2,"Flu ED visits pct",2025-12-20,"quantile",0.025,0
2025-12-06,"athens",2,"Flu ED visits pct",2025-12-20,"quantile",0.05,0
2025-12-06,"athens",2,"Flu ED visits pct",2025-12-20,"quantile",0.1,0.0958578578578597
2025-12-06,"athens",2,"Flu ED visits pct",2025-12-20,"quantile",0.25,1.16618118118118
2025-12-06,"athens",2,"Flu ED visits pct",2025-12-20,"quantile",0.5,1.75
