"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2026-02-28,"Flu ED visits pct",0,2026-02-28,"athens","quantile",0.025,0.29078469407147
2026-02-28,"Flu ED visits pct",0,2026-02-28,"athens","quantile",0.05,0.786841671030154
2026-02-28,"Flu ED visits pct",0,2026-02-28,"athens","quantile",0.1,1.35270155552198
2026-02-28,"Flu ED visits pct",0,2026-02-28,"athens","quantile",0.25,1.96127609197314
2026-02-28,"Flu ED visits pct",0,2026-02-28,"athens","quantile",0.5,2.31607890927726
2026-02-28,"Flu ED visits pct",0,2026-02-28,"athens","quantile",0.75,2.78306134323652
2026-02-28,"Flu ED visits pct",0,2026-02-28,"athens","quantile",0.9,3.54345584443887
2026-02-28,"Flu ED visits pct",0,2026-02-28,"athens","quantile",0.95,4.27947454391908
2026-02-28,"Flu ED visits pct",0,2026-02-28,"athens","quantile",0.975,5.4836484053412
2026-02-28,"Flu ED visits pct",0,2026-02-28,"austin","quantile",0.025,1.7658347998942
2026-02-28,"Flu ED visits pct",0,2026-02-28,"austin","quantile",0.05,2.05764162986458
2026-02-28,"Flu ED visits pct",0,2026-02-28,"austin","quantile",0.1,2.44258427693094
2026-02-28,"Flu ED visits pct",0,2026-02-28,"austin","quantile",0.25,2.83843199516096
2026-02-28,"Flu ED visits pct",0,2026-02-28,"austin","quantile",0.5,3.09953080849716
2026-02-28,"Flu ED visits pct",0,2026-02-28,"austin","quantile",0.75,3.37024909350789
2026-02-28,"Flu ED visits pct",0,2026-02-28,"austin","quantile",0.9,3.84482348832038
2026-02-28,"Flu ED visits pct",0,2026-02-28,"austin","quantile",0.95,4.27853771110714
2026-02-28,"Flu ED visits pct",0,2026-02-28,"austin","quantile",0.975,4.65630003419106
2026-02-28,"Flu ED visits pct",0,2026-02-28,"baltimore","quantile",0.025,0.0304923601954231
2026-02-28,"Flu ED visits pct",0,2026-02-28,"baltimore","quantile",0.05,0.0549746767344095
2026-02-28,"Flu ED visits pct",0,2026-02-28,"baltimore","quantile",0.1,0.137466454971911
2026-02-28,"Flu ED visits pct",0,2026-02-28,"baltimore","quantile",0.25,0.509525852538641
2026-02-28,"Flu ED visits pct",0,2026-02-28,"baltimore","quantile",0.5,0.620666193387154
2026-02-28,"Flu ED visits pct",0,2026-02-28,"baltimore","quantile",0.75,0.739158171913662
2026-02-28,"Flu ED visits pct",0,2026-02-28,"baltimore","quantile",0.9,1.13740092263259
2026-02-28,"Flu ED visits pct",0,2026-02-28,"baltimore","quantile",0.95,1.58272630949
2026-02-28,"Flu ED visits pct",0,2026-02-28,"baltimore","quantile",0.975,1.95190358671432
2026-02-28,"Flu ED visits pct",0,2026-02-28,"bangor","quantile",0.025,0.177698194222604
2026-02-28,"Flu ED visits pct",0,2026-02-28,"bangor","quantile",0.05,0.769172100060538
2026-02-28,"Flu ED visits pct",0,2026-02-28,"bangor","quantile",0.1,1.13294814099747
2026-02-28,"Flu ED visits pct",0,2026-02-28,"bangor","quantile",0.25,1.50315078521784
2026-02-28,"Flu ED visits pct",0,2026-02-28,"bangor","quantile",0.5,1.77219591407941
2026-02-28,"Flu ED visits pct",0,2026-02-28,"bangor","quantile",0.75,2.12440685805678
2026-02-28,"Flu ED visits pct",0,2026-02-28,"bangor","quantile",0.9,2.6581181316077
2026-02-28,"Flu ED visits pct",0,2026-02-28,"bangor","quantile",0.95,3.15833673345554
2026-02-28,"Flu ED visits pct",0,2026-02-28,"bangor","quantile",0.975,3.99173749190948
2026-02-28,"Flu ED visits pct",0,2026-02-28,"beaumont","quantile",0.025,0.175712386853046
2026-02-28,"Flu ED visits pct",0,2026-02-28,"beaumont","quantile",0.05,0.250498397389698
2026-02-28,"Flu ED visits pct",0,2026-02-28,"beaumont","quantile",0.1,0.747949556406563
2026-02-28,"Flu ED visits pct",0,2026-02-28,"beaumont","quantile",0.25,1.30294060769328
2026-02-28,"Flu ED visits pct",0,2026-02-28,"beaumont","quantile",0.5,1.56386180551183
2026-02-28,"Flu ED visits pct",0,2026-02-28,"beaumont","quantile",0.75,1.8510583198044
2026-02-28,"Flu ED visits pct",0,2026-02-28,"beaumont","quantile",0.9,2.49109443847457
2026-02-28,"Flu ED visits pct",0,2026-02-28,"beaumont","quantile",0.95,3.07424369630295
2026-02-28,"Flu ED visits pct",0,2026-02-28,"beaumont","quantile",0.975,3.50948886907716
2026-02-28,"Flu ED visits pct",0,2026-02-28,"boston","quantile",0.025,0.369256764740721
2026-02-28,"Flu ED visits pct",0,2026-02-28,"boston","quantile",0.05,0.625404113820437
