"reference_date","target","horizon","target_end_date","location","output_type","output_type_id","value"
2026-05-02,"Flu ED visits pct",0,2026-05-02,"athens","quantile",0.025,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"athens","quantile",0.05,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"athens","quantile",0.1,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"athens","quantile",0.25,0.0652511567461821
2026-05-02,"Flu ED visits pct",0,2026-05-02,"athens","quantile",0.5,0.161480181244232
2026-05-02,"Flu ED visits pct",0,2026-05-02,"athens","quantile",0.75,0.279157804291517
2026-05-02,"Flu ED visits pct",0,2026-05-02,"athens","quantile",0.9,0.435726315230435
2026-05-02,"Flu ED visits pct",0,2026-05-02,"athens","quantile",0.95,0.569814888540277
2026-05-02,"Flu ED visits pct",0,2026-05-02,"athens","quantile",0.975,0.762459434145502
2026-05-02,"Flu ED visits pct",0,2026-05-02,"austin","quantile",0.025,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"austin","quantile",0.05,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"austin","quantile",0.1,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"austin","quantile",0.25,0.102653838750888
2026-05-02,"Flu ED visits pct",0,2026-05-02,"austin","quantile",0.5,0.242598879819107
2026-05-02,"Flu ED visits pct",0,2026-05-02,"austin","quantile",0.75,0.336038249726487
2026-05-02,"Flu ED visits pct",0,2026-05-02,"austin","quantile",0.9,0.497113536055214
2026-05-02,"Flu ED visits pct",0,2026-05-02,"austin","quantile",0.95,0.640289511980898
2026-05-02,"Flu ED visits pct",0,2026-05-02,"austin","quantile",0.975,0.818205929664725
2026-05-02,"Flu ED visits pct",0,2026-05-02,"baltimore","quantile",0.025,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"baltimore","quantile",0.05,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"baltimore","quantile",0.1,0.00745001785413836
2026-05-02,"Flu ED visits pct",0,2026-05-02,"baltimore","quantile",0.25,0.124458661562281
2026-05-02,"Flu ED visits pct",0,2026-05-02,"baltimore","quantile",0.5,0.213702335729264
2026-05-02,"Flu ED visits pct",0,2026-05-02,"baltimore","quantile",0.75,0.351810529358417
2026-05-02,"Flu ED visits pct",0,2026-05-02,"baltimore","quantile",0.9,0.511990697311235
2026-05-02,"Flu ED visits pct",0,2026-05-02,"baltimore","quantile",0.95,0.695551707256212
2026-05-02,"Flu ED visits pct",0,2026-05-02,"baltimore","quantile",0.975,0.925648813965545
2026-05-02,"Flu ED visits pct",0,2026-05-02,"bangor","quantile",0.025,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"bangor","quantile",0.05,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"bangor","quantile",0.1,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"bangor","quantile",0.25,0.0162604101748686
2026-05-02,"Flu ED visits pct",0,2026-05-02,"bangor","quantile",0.5,0.102729742474774
2026-05-02,"Flu ED visits pct",0,2026-05-02,"bangor","quantile",0.75,0.276924360867467
2026-05-02,"Flu ED visits pct",0,2026-05-02,"bangor","quantile",0.9,0.491317701467609
2026-05-02,"Flu ED visits pct",0,2026-05-02,"bangor","quantile",0.95,0.6824690560501
2026-05-02,"Flu ED visits pct",0,2026-05-02,"bangor","quantile",0.975,0.874265579300883
2026-05-02,"Flu ED visits pct",0,2026-05-02,"beaumont","quantile",0.025,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"beaumont","quantile",0.05,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"beaumont","quantile",0.1,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"beaumont","quantile",0.25,0.178091675382919
2026-05-02,"Flu ED visits pct",0,2026-05-02,"beaumont","quantile",0.5,0.300883892204893
2026-05-02,"Flu ED visits pct",0,2026-05-02,"beaumont","quantile",0.75,0.441079410148535
2026-05-02,"Flu ED visits pct",0,2026-05-02,"beaumont","quantile",0.9,0.650744143026616
2026-05-02,"Flu ED visits pct",0,2026-05-02,"beaumont","quantile",0.95,0.806639057374041
2026-05-02,"Flu ED visits pct",0,2026-05-02,"beaumont","quantile",0.975,1.00614089364884
2026-05-02,"Flu ED visits pct",0,2026-05-02,"boston","quantile",0.025,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"boston","quantile",0.05,0
2026-05-02,"Flu ED visits pct",0,2026-05-02,"boston","quantile",0.1,0.0675356907894208
2026-05-02,"Flu ED visits pct",0,2026-05-02,"boston","quantile",0.25,0.202401963457467
2026-05-02,"Flu ED visits pct",0,2026-05-02,"boston","quantile",0.5,0.346798437656786
2026-05-02,"Flu ED visits pct",0,2026-05-02,"boston","quantile",0.75,0.486036173712521
2026-05-02,"Flu ED visits pct",0,2026-05-02,"boston","quantile",0.9,0.670396316138006
2026-05-02,"Flu ED visits pct",0,2026-05-02,"boston","quantile",0.95,0.842779977017237
2026-05-02,"Flu ED visits pct",0,2026-05-02,"boston","quantile",0.975,1.04907946903727
