"reference_date","location","horizon","target","target_end_date","output_type","output_type_id","value"
2025-11-22,"boulder",-2,"Flu ED visits pct",2025-11-08,"quantile",0.025,0.239256125
2025-11-22,"boulder",-2,"Flu ED visits pct",2025-11-08,"quantile",0.05,0.31248425
2025-11-22,"boulder",-2,"Flu ED visits pct",2025-11-08,"quantile",0.1,0.3964697
2025-11-22,"boulder",-2,"Flu ED visits pct",2025-11-08,"quantile",0.25,0.57790225
2025-11-22,"boulder",-2,"Flu ED visits pct",2025-11-08,"quantile",0.5,0.8342705
2025-11-22,"boulder",-2,"Flu ED visits pct",2025-11-08,"quantile",0.75,1.14894
2025-11-22,"boulder",-2,"Flu ED visits pct",2025-11-08,"quantile",0.9,1.500774
2025-11-22,"boulder",-2,"Flu ED visits pct",2025-11-08,"quantile",0.95,1.745285
2025-11-22,"boulder",-2,"Flu ED visits pct",2025-11-08,"quantile",0.975,1.9558015
2025-11-22,"colorado-springs",-2,"Flu ED visits pct",2025-11-08,"quantile",0.025,0.1585655
2025-11-22,"colorado-springs",-2,"Flu ED visits pct",2025-11-08,"quantile",0.05,0.1913002
2025-11-22,"colorado-springs",-2,"Flu ED visits pct",2025-11-08,"quantile",0.1,0.2410378
2025-11-22,"colorado-springs",-2,"Flu ED visits pct",2025-11-08,"quantile",0.25,0.32714025
2025-11-22,"colorado-springs",-2,"Flu ED visits pct",2025-11-08,"quantile",0.5,0.442826
2025-11-22,"colorado-springs",-2,"Flu ED visits pct",2025-11-08,"quantile",0.75,0.581858
2025-11-22,"colorado-springs",-2,"Flu ED visits pct",2025-11-08,"quantile",0.9,0.7304907
2025-11-22,"colorado-springs",-2,"Flu ED visits pct",2025-11-08,"quantile",0.95,0.8376371
2025-11-22,"colorado-springs",-2,"Flu ED visits pct",2025-11-08,"quantile",0.975,0.914172925
2025-11-22,"denver",-2,"Flu ED visits pct",2025-11-08,"quantile",0.025,0.2797677
2025-11-22,"denver",-2,"Flu ED visits pct",2025-11-08,"quantile",0.05,0.314666
2025-11-22,"denver",-2,"Flu ED visits pct",2025-11-08,"quantile",0.1,0.3664677
2025-11-22,"denver",-2,"Flu ED visits pct",2025-11-08,"quantile",0.25,0.44771275
2025-11-22,"denver",-2,"Flu ED visits pct",2025-11-08,"quantile",0.5,0.548253
2025-11-22,"denver",-2,"Flu ED visits pct",2025-11-08,"quantile",0.75,0.6669795
2025-11-22,"denver",-2,"Flu ED visits pct",2025-11-08,"quantile",0.9,0.78288
2025-11-22,"denver",-2,"Flu ED visits pct",2025-11-08,"quantile",0.95,0.85855795
2025-11-22,"denver",-2,"Flu ED visits pct",2025-11-08,"quantile",0.975,0.92316915
2025-11-22,"larimer",-2,"Flu ED visits pct",2025-11-08,"quantile",0.025,0.0322748575
2025-11-22,"larimer",-2,"Flu ED visits pct",2025-11-08,"quantile",0.05,0.04542625
2025-11-22,"larimer",-2,"Flu ED visits pct",2025-11-08,"quantile",0.1,0.07059286
2025-11-22,"larimer",-2,"Flu ED visits pct",2025-11-08,"quantile",0.25,0.1319365
2025-11-22,"larimer",-2,"Flu ED visits pct",2025-11-08,"quantile",0.5,0.2283985
2025-11-22,"larimer",-2,"Flu ED visits pct",2025-11-08,"quantile",0.75,0.35841275
2025-11-22,"larimer",-2,"Flu ED visits pct",2025-11-08,"quantile",0.9,0.4960252
2025-11-22,"larimer",-2,"Flu ED visits pct",2025-11-08,"quantile",0.95,0.60396735
2025-11-22,"larimer",-2,"Flu ED visits pct",2025-11-08,"quantile",0.975,0.719683475
2025-11-22,"mesa",-2,"Flu ED visits pct",2025-11-08,"quantile",0.025,6.79891575e-08
2025-11-22,"mesa",-2,"Flu ED visits pct",2025-11-08,"quantile",0.05,5.5871345e-06
2025-11-22,"mesa",-2,"Flu ED visits pct",2025-11-08,"quantile",0.1,0.000198543
2025-11-22,"mesa",-2,"Flu ED visits pct",2025-11-08,"quantile",0.25,0.00782922
2025-11-22,"mesa",-2,"Flu ED visits pct",2025-11-08,"quantile",0.5,0.06941725
2025-11-22,"mesa",-2,"Flu ED visits pct",2025-11-08,"quantile",0.75,0.24016
2025-11-22,"mesa",-2,"Flu ED visits pct",2025-11-08,"quantile",0.9,0.5228136
2025-11-22,"mesa",-2,"Flu ED visits pct",2025-11-08,"quantile",0.95,0.78222955
2025-11-22,"mesa",-2,"Flu ED visits pct",2025-11-08,"quantile",0.975,1.03716425
2025-11-22,"weld",-2,"Flu ED visits pct",2025-11-08,"quantile",0.025,0.0494898725
2025-11-22,"weld",-2,"Flu ED visits pct",2025-11-08,"quantile",0.05,0.091994515
2025-11-22,"weld",-2,"Flu ED visits pct",2025-11-08,"quantile",0.1,0.154485
2025-11-22,"weld",-2,"Flu ED visits pct",2025-11-08,"quantile",0.25,0.3075635
2025-11-22,"weld",-2,"Flu ED visits pct",2025-11-08,"quantile",0.5,0.546122
2025-11-22,"weld",-2,"Flu ED visits pct",2025-11-08,"quantile",0.75,0.87288275
2025-11-22,"weld",-2,"Flu ED visits pct",2025-11-08,"quantile",0.9,1.249506
2025-11-22,"weld",-2,"Flu ED visits pct",2025-11-08,"quantile",0.95,1.52174
2025-11-22,"weld",-2,"Flu ED visits pct",2025-11-08,"quantile",0.975,1.75282775
2025-11-22,"boulder",-1,"Flu ED visits pct",2025-11-15,"quantile",0.025,0.48173545
2025-11-22,"boulder",-1,"Flu ED visits pct",2025-11-15,"quantile",0.05,0.6100899
2025-11-22,"boulder",-1,"Flu ED visits pct",2025-11-15,"quantile",0.1,0.7939664
2025-11-22,"boulder",-1,"Flu ED visits pct",2025-11-15,"quantile",0.25,1.17652
2025-11-22,"boulder",-1,"Flu ED visits pct",2025-11-15,"quantile",0.5,1.758595
2025-11-22,"boulder",-1,"Flu ED visits pct",2025-11-15,"quantile",0.75,2.4766275
2025-11-22,"boulder",-1,"Flu ED visits pct",2025-11-15,"quantile",0.9,3.321207
2025-11-22,"boulder",-1,"Flu ED visits pct",2025-11-15,"quantile",0.95,3.952461
2025-11-22,"boulder",-1,"Flu ED visits pct",2025-11-15,"quantile",0.975,4.69074825
2025-11-22,"colorado-springs",-1,"Flu ED visits pct",2025-11-15,"quantile",0.025,0.411911775
2025-11-22,"colorado-springs",-1,"Flu ED visits pct",2025-11-15,"quantile",0.05,0.49820105
2025-11-22,"colorado-springs",-1,"Flu ED visits pct",2025-11-15,"quantile",0.1,0.5986801
2025-11-22,"colorado-springs",-1,"Flu ED visits pct",2025-11-15,"quantile",0.25,0.803713
2025-11-22,"colorado-springs",-1,"Flu ED visits pct",2025-11-15,"quantile",0.5,1.09968
2025-11-22,"colorado-springs",-1,"Flu ED visits pct",2025-11-15,"quantile",0.75,1.441735
2025-11-22,"colorado-springs",-1,"Flu ED visits pct",2025-11-15,"quantile",0.9,1.79646
2025-11-22,"colorado-springs",-1,"Flu ED visits pct",2025-11-15,"quantile",0.95,2.047602
2025-11-22,"colorado-springs",-1,"Flu ED visits pct",2025-11-15,"quantile",0.975,2.27607775
2025-11-22,"denver",-1,"Flu ED visits pct",2025-11-15,"quantile",0.025,0.612700775
2025-11-22,"denver",-1,"Flu ED visits pct",2025-11-15,"quantile",0.05,0.6964796
2025-11-22,"denver",-1,"Flu ED visits pct",2025-11-15,"quantile",0.1,0.801169
2025-11-22,"denver",-1,"Flu ED visits pct",2025-11-15,"quantile",0.25,0.972811
2025-11-22,"denver",-1,"Flu ED visits pct",2025-11-15,"quantile",0.5,1.224945
2025-11-22,"denver",-1,"Flu ED visits pct",2025-11-15,"quantile",0.75,1.5370575
2025-11-22,"denver",-1,"Flu ED visits pct",2025-11-15,"quantile",0.9,1.825676
2025-11-22,"denver",-1,"Flu ED visits pct",2025-11-15,"quantile",0.95,2.0937815
2025-11-22,"denver",-1,"Flu ED visits pct",2025-11-15,"quantile",0.975,2.35084375
2025-11-22,"larimer",-1,"Flu ED visits pct",2025-11-15,"quantile",0.025,0.14362065
2025-11-22,"larimer",-1,"Flu ED visits pct",2025-11-15,"quantile",0.05,0.19136485
2025-11-22,"larimer",-1,"Flu ED visits pct",2025-11-15,"quantile",0.1,0.2534385
2025-11-22,"larimer",-1,"Flu ED visits pct",2025-11-15,"quantile",0.25,0.4072475
2025-11-22,"larimer",-1,"Flu ED visits pct",2025-11-15,"quantile",0.5,0.624804
2025-11-22,"larimer",-1,"Flu ED visits pct",2025-11-15,"quantile",0.75,0.93553125
2025-11-22,"larimer",-1,"Flu ED visits pct",2025-11-15,"quantile",0.9,1.285511
2025-11-22,"larimer",-1,"Flu ED visits pct",2025-11-15,"quantile",0.95,1.554883
2025-11-22,"larimer",-1,"Flu ED visits pct",2025-11-15,"quantile",0.975,1.81097525
2025-11-22,"mesa",-1,"Flu ED visits pct",2025-11-15,"quantile",0.025,0.000509112675
2025-11-22,"mesa",-1,"Flu ED visits pct",2025-11-15,"quantile",0.05,0.0069205305
2025-11-22,"mesa",-1,"Flu ED visits pct",2025-11-15,"quantile",0.1,0.02874641
2025-11-22,"mesa",-1,"Flu ED visits pct",2025-11-15,"quantile",0.25,0.1332745
2025-11-22,"mesa",-1,"Flu ED visits pct",2025-11-15,"quantile",0.5,0.4076425
2025-11-22,"mesa",-1,"Flu ED visits pct",2025-11-15,"quantile",0.75,0.90873375
2025-11-22,"mesa",-1,"Flu ED visits pct",2025-11-15,"quantile",0.9,1.541279
2025-11-22,"mesa",-1,"Flu ED visits pct",2025-11-15,"quantile",0.95,2.031185
2025-11-22,"mesa",-1,"Flu ED visits pct",2025-11-15,"quantile",0.975,2.50708
2025-11-22,"weld",-1,"Flu ED visits pct",2025-11-15,"quantile",0.025,0.25770825
2025-11-22,"weld",-1,"Flu ED visits pct",2025-11-15,"quantile",0.05,0.39206865
2025-11-22,"weld",-1,"Flu ED visits pct",2025-11-15,"quantile",0.1,0.5647636
2025-11-22,"weld",-1,"Flu ED visits pct",2025-11-15,"quantile",0.25,0.98908625
2025-11-22,"weld",-1,"Flu ED visits pct",2025-11-15,"quantile",0.5,1.62446
2025-11-22,"weld",-1,"Flu ED visits pct",2025-11-15,"quantile",0.75,2.4871675
2025-11-22,"weld",-1,"Flu ED visits pct",2025-11-15,"quantile",0.9,3.555016
2025-11-22,"weld",-1,"Flu ED visits pct",2025-11-15,"quantile",0.95,4.260478
2025-11-22,"weld",-1,"Flu ED visits pct",2025-11-15,"quantile",0.975,5.128043
2025-11-22,"boulder",0,"Flu ED visits pct",2025-11-22,"quantile",0.025,0.5409071
2025-11-22,"boulder",0,"Flu ED visits pct",2025-11-22,"quantile",0.05,0.7501812
2025-11-22,"boulder",0,"Flu ED visits pct",2025-11-22,"quantile",0.1,1.037145
2025-11-22,"boulder",0,"Flu ED visits pct",2025-11-22,"quantile",0.25,1.5385525
2025-11-22,"boulder",0,"Flu ED visits pct",2025-11-22,"quantile",0.5,2.30604
2025-11-22,"boulder",0,"Flu ED visits pct",2025-11-22,"quantile",0.75,3.416265
2025-11-22,"boulder",0,"Flu ED visits pct",2025-11-22,"quantile",0.9,4.857668
2025-11-22,"boulder",0,"Flu ED visits pct",2025-11-22,"quantile",0.95,5.708736
2025-11-22,"boulder",0,"Flu ED visits pct",2025-11-22,"quantile",0.975,6.76759549999999
2025-11-22,"colorado-springs",0,"Flu ED visits pct",2025-11-22,"quantile",0.025,0.56179235
2025-11-22,"colorado-springs",0,"Flu ED visits pct",2025-11-22,"quantile",0.05,0.6719208
2025-11-22,"colorado-springs",0,"Flu ED visits pct",2025-11-22,"quantile",0.1,0.8382363
2025-11-22,"colorado-springs",0,"Flu ED visits pct",2025-11-22,"quantile",0.25,1.1458475
2025-11-22,"colorado-springs",0,"Flu ED visits pct",2025-11-22,"quantile",0.5,1.570135
2025-11-22,"colorado-springs",0,"Flu ED visits pct",2025-11-22,"quantile",0.75,2.18273
2025-11-22,"colorado-springs",0,"Flu ED visits pct",2025-11-22,"quantile",0.9,2.886212
2025-11-22,"colorado-springs",0,"Flu ED visits pct",2025-11-22,"quantile",0.95,3.27695
2025-11-22,"colorado-springs",0,"Flu ED visits pct",2025-11-22,"quantile",0.975,3.87302175
2025-11-22,"denver",0,"Flu ED visits pct",2025-11-22,"quantile",0.025,0.8050439
2025-11-22,"denver",0,"Flu ED visits pct",2025-11-22,"quantile",0.05,0.8914321
2025-11-22,"denver",0,"Flu ED visits pct",2025-11-22,"quantile",0.1,1.039798
2025-11-22,"denver",0,"Flu ED visits pct",2025-11-22,"quantile",0.25,1.3291275
2025-11-22,"denver",0,"Flu ED visits pct",2025-11-22,"quantile",0.5,1.717715
2025-11-22,"denver",0,"Flu ED visits pct",2025-11-22,"quantile",0.75,2.241335
2025-11-22,"denver",0,"Flu ED visits pct",2025-11-22,"quantile",0.9,2.790698
2025-11-22,"denver",0,"Flu ED visits pct",2025-11-22,"quantile",0.95,3.286893
2025-11-22,"denver",0,"Flu ED visits pct",2025-11-22,"quantile",0.975,3.66333325
2025-11-22,"larimer",0,"Flu ED visits pct",2025-11-22,"quantile",0.025,0.21202645
2025-11-22,"larimer",0,"Flu ED visits pct",2025-11-22,"quantile",0.05,0.2814423
2025-11-22,"larimer",0,"Flu ED visits pct",2025-11-22,"quantile",0.1,0.3853257
2025-11-22,"larimer",0,"Flu ED visits pct",2025-11-22,"quantile",0.25,0.60189675
2025-11-22,"larimer",0,"Flu ED visits pct",2025-11-22,"quantile",0.5,0.968316
2025-11-22,"larimer",0,"Flu ED visits pct",2025-11-22,"quantile",0.75,1.4731275
2025-11-22,"larimer",0,"Flu ED visits pct",2025-11-22,"quantile",0.9,2.120997
2025-11-22,"larimer",0,"Flu ED visits pct",2025-11-22,"quantile",0.95,2.531652
2025-11-22,"larimer",0,"Flu ED visits pct",2025-11-22,"quantile",0.975,3.00780125
2025-11-22,"mesa",0,"Flu ED visits pct",2025-11-22,"quantile",0.025,0.0057185115
2025-11-22,"mesa",0,"Flu ED visits pct",2025-11-22,"quantile",0.05,0.02947989
2025-11-22,"mesa",0,"Flu ED visits pct",2025-11-22,"quantile",0.1,0.08766533
2025-11-22,"mesa",0,"Flu ED visits pct",2025-11-22,"quantile",0.25,0.298418
2025-11-22,"mesa",0,"Flu ED visits pct",2025-11-22,"quantile",0.5,0.7722455
