Week Ending Date,Region,Definition Count,Total ED Visits,Percentage Of Total ED Visits,
1/10/09,1 NENC,9,9980,0.09%,
1/10/09,2 SENC,2,5675,0.04%,
1/10/09,3 FAY AREA,28,11419,0.25%,
1/10/09,4 RTP AREA,16,12279,0.13%,
1/10/09,5 TRIAD AREA,19,14579,0.13%,
1/10/09,6 WNC,2,8088,0.02%,
1/10/09,7 CLT AREA,33,15991,0.21%,
1/17/09,1 NENC,9,9096,0.10%,
1/17/09,2 SENC,4,5209,0.08%,
1/17/09,3 FAY AREA,23,10903,0.21%,
1/17/09,4 RTP AREA,15,11379,0.13%,
1/17/09,5 TRIAD AREA,24,13115,0.18%,
1/17/09,6 WNC,3,6711,0.04%,
1/17/09,7 CLT AREA,12,10164,0.12%,
1/24/09,1 NENC,16,9100,0.18%,
1/24/09,2 SENC,6,5540,0.11%,
1/24/09,3 FAY AREA,28,11027,0.25%,
1/24/09,4 RTP AREA,11,11585,0.09%,
1/24/09,5 TRIAD AREA,38,13484,0.28%,
1/24/09,6 WNC,4,6777,0.06%,
1/24/09,7 CLT AREA,8,10401,0.08%,
1/31/09,1 NENC,20,9094,0.22%,
1/31/09,2 SENC,11,5377,0.20%,
1/31/09,3 FAY AREA,25,10918,0.23%,
1/31/09,4 RTP AREA,23,11694,0.20%,
1/31/09,5 TRIAD AREA,54,13989,0.39%,
1/31/09,6 WNC,8,7532,0.11%,
1/31/09,7 CLT AREA,16,11755,0.14%,
2/7/09,1 NENC,33,9439,0.35%,
2/7/09,2 SENC,12,5345,0.22%,
2/7/09,3 FAY AREA,37,10935,0.34%,
2/7/09,4 RTP AREA,35,11533,0.30%,
2/7/09,5 TRIAD AREA,85,13785,0.62%,
2/7/09,6 WNC,17,7693,0.22%,
2/7/09,7 CLT AREA,72,16945,0.42%,
2/14/09,1 NENC,54,10159,0.53%,
2/14/09,2 SENC,53,6041,0.88%,
2/14/09,3 FAY AREA,78,11875,0.66%,
2/14/09,4 RTP AREA,77,12414,0.62%,
2/14/09,5 TRIAD AREA,121,14865,0.81%,
2/14/09,6 WNC,43,8462,0.51%,
2/14/09,7 CLT AREA,113,19392,0.58%,
2/21/09,1 NENC,100,10315,0.97%,
2/21/09,2 SENC,44,6027,0.73%,
2/21/09,3 FAY AREA,95,11930,0.80%,
2/21/09,4 RTP AREA,125,12539,1.00%,
2/21/09,5 TRIAD AREA,131,14885,0.88%,
2/21/09,6 WNC,64,8821,0.73%,
2/21/09,7 CLT AREA,171,19710,0.87%,
2/28/09,1 NENC,154,10490,1.47%,
2/28/09,2 SENC,85,6193,1.37%,
2/28/09,3 FAY AREA,163,12410,1.31%,
2/28/09,4 RTP AREA,167,12717,1.31%,
2/28/09,5 TRIAD AREA,158,14946,1.06%,
2/28/09,6 WNC,101,8967,1.13%,
2/28/09,7 CLT AREA,167,19608,0.85%,
3/7/09,1 NENC,129,10512,1.23%,
3/7/09,2 SENC,107,5942,1.80%,
3/7/09,3 FAY AREA,280,12304,2.28%,
